sessid,subjid,channo,clusid,sitename,regionname,hemisphere,clustype
1,30,1,1,LA,AM,L,MU
1,30,1,2,LA,AM,L,SU
1,30,1,3,LA,AM,L,SU
1,30,1,4,LA,AM,L,SU
1,30,2,1,LA,AM,L,MU
1,30,2,2,LA,AM,L,SU
1,30,3,1,LA,AM,L,SU
1,30,3,2,LA,AM,L,MU
1,30,3,3,LA,AM,L,SU
1,30,3,4,LA,AM,L,SU
1,30,3,5,LA,AM,L,SU
1,30,4,1,LA,AM,L,MU
1,30,5,1,LA,AM,L,MU
1,30,5,2,LA,AM,L,MU
1,30,5,3,LA,AM,L,MU
1,30,5,4,LA,AM,L,SU
1,30,7,1,LA,AM,L,SU
1,30,7,2,LA,AM,L,SU
1,30,7,3,LA,AM,L,MU
1,30,8,1,LA,AM,L,MU
1,30,8,2,LA,AM,L,MU
1,30,8,3,LA,AM,L,SU
1,30,8,4,LA,AM,L,SU
1,30,11,1,LAH,HC,L,MU
1,30,13,1,LAH,HC,L,SU
1,30,13,2,LAH,HC,L,MU
1,30,13,3,LAH,HC,L,SU
1,30,13,4,LAH,HC,L,SU
1,30,13,5,LAH,HC,L,SU
1,30,15,1,LAH,HC,L,MU
1,30,17,1,LEC,EC,L,MU
1,30,17,2,LEC,EC,L,SU
1,30,18,1,LEC,EC,L,MU
1,30,18,2,LEC,EC,L,SU
1,30,19,1,LEC,EC,L,MU
1,30,19,2,LEC,EC,L,SU
1,30,19,3,LEC,EC,L,SU
1,30,20,1,LEC,EC,L,MU
1,30,21,1,LEC,EC,L,MU
1,30,21,2,LEC,EC,L,SU
1,30,21,3,LEC,EC,L,SU
1,30,21,4,LEC,EC,L,SU
1,30,22,1,LEC,EC,L,MU
1,30,22,2,LEC,EC,L,SU
1,30,22,3,LEC,EC,L,SU
1,30,23,1,LEC,EC,L,MU
1,30,23,2,LEC,EC,L,SU
1,30,24,1,LEC,EC,L,MU
1,30,24,2,LEC,EC,L,MU
1,30,24,3,LEC,EC,L,SU
1,30,26,1,LMH,HC,L,SU
1,30,26,2,LMH,HC,L,SU
1,30,26,3,LMH,HC,L,MU
1,30,26,4,LMH,HC,L,MU
1,30,28,1,LMH,HC,L,MU
1,30,29,1,LMH,HC,L,SU
1,30,29,2,LMH,HC,L,SU
1,30,29,3,LMH,HC,L,SU
